weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99107
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99110
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99111
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99116
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99117
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99118
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99119
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99129
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99133
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99151
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99153
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99167
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99198
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99206
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99232
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99262
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99300
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99302
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99322
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99325
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99346
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99348
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,99360
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99364
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99396
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99399
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99418
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99432
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,99445
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99445
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,99459
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99472
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99535
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99550
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99554
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,99584
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,10,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,CEMENT WALL,05-10FT,UNKNOWN,STANDING,99611
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.48, 9 MM,4,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,false,NONE,0-5FT,PERSON,STANDING,99612
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99614
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99624
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99625
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,99665
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P229,4, 9 MM,5,No,,LEFT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE AVAILABLE,OVER 15FT,UNKNOWN,STANDING,99667
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99680
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99681
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99682
SEMI-AUTO PISTOL,"STURM, RUGER & CO. (BEARCAT,BLACKHAWK,SPEED SIX)",,LCP,2.75,380 ACP,1,No,0,OTHER (SPECIFY),STRONG SIDE DRAW,,false,NONE,0-5FT,UNKNOWN,STANDING,99707
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4, 9 MM,6,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,0,false,NONE,05-10FT,PERSON,STANDING,99718
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99729
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99730
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99780
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,99804
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99810
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99837
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99838
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99862
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,99921
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99921
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,102678
